Cell Line,CCLE Mut,CCLE CNV AMP,CCLE CNV DEL,Network Mut,Network CNV AMP,Network CNV DEL,Ratio of Mut,Ratio of CNV AMP,Ratio of CNV DEL
SW1116_LARGE_INTESTINE,32,621,678,5,8,10,15.625,1.288244766505636,1.4749262536873156
COLO205_LARGE_INTESTINE,20,623,170,4,15,1,20.0,2.4077046548956664,0.5882352941176471
OUMS23_LARGE_INTESTINE,36,455,927,8,11,12,22.22222222222222,2.417582417582418,1.2944983818770228
NCIH716_LARGE_INTESTINE,27,630,786,6,9,6,22.22222222222222,1.4285714285714286,0.7633587786259541
SW480_LARGE_INTESTINE,50,357,500,8,8,8,16.0,2.2408963585434174,1.6
SNUC2A_LARGE_INTESTINE,267,30,1039,19,1,17,7.116104868913857,3.3333333333333335,1.6361886429258903
NCIH508_LARGE_INTESTINE,34,791,189,1,20,3,2.941176470588235,2.5284450063211126,1.5873015873015872
LS123_LARGE_INTESTINE,33,2212,714,7,29,10,21.21212121212121,1.3110307414104883,1.400560224089636
SNU1197_LARGE_INTESTINE,39,51,1786,10,1,32,25.64102564102564,1.9607843137254901,1.7917133258678613
CW2_LARGE_INTESTINE,509,25,187,29,0,1,5.697445972495088,0.0,0.53475935828877
SNU61_LARGE_INTESTINE,1,523,730,1,9,12,100.0,1.7208413001912046,1.643835616438356
HT115_LARGE_INTESTINE,426,314,709,22,1,12,5.164319248826291,0.3184713375796179,1.692524682651622
SNU1033_LARGE_INTESTINE,29,258,1674,8,1,32,27.586206896551722,0.3875968992248062,1.911589008363202
SNUC5_LARGE_INTESTINE,253,279,367,12,4,3,4.743083003952568,1.4336917562724014,0.8174386920980926
SNUC4_LARGE_INTESTINE,195,52,350,11,0,11,5.641025641025641,0.0,3.1428571428571432
HCT15_LARGE_INTESTINE,492,125,139,25,1,1,5.08130081300813,0.8,0.7194244604316548
SW1463_LARGE_INTESTINE,25,605,238,8,15,2,32.0,2.479338842975207,0.8403361344537815
CCK81_LARGE_INTESTINE,257,303,630,10,2,13,3.8910505836575875,0.6600660066006601,2.0634920634920633
C2BBE1_LARGE_INTESTINE,27,1102,1547,5,19,31,18.51851851851852,1.7241379310344827,2.0038784744667097
LS513_LARGE_INTESTINE,40,526,244,5,13,3,12.5,2.4714828897338403,1.2295081967213115
SW837_LARGE_INTESTINE,29,1052,4233,6,21,79,20.689655172413794,1.9961977186311788,1.8662886841483581
GP2D_LARGE_INTESTINE,378,27,219,23,0,3,6.084656084656085,0.0,1.36986301369863
HT55_LARGE_INTESTINE,102,205,916,6,9,15,5.88235294117647,4.390243902439024,1.6375545851528384
MDST8_LARGE_INTESTINE,65,59,154,5,0,1,7.6923076923076925,0.0,0.6493506493506493
SKCO1_LARGE_INTESTINE,29,1887,1834,5,33,23,17.24137931034483,1.7488076311605723,1.2540894220283534
SNU81_LARGE_INTESTINE,526,48,130,29,1,1,5.513307984790875,2.083333333333333,0.7692307692307693
SNU1040_LARGE_INTESTINE,690,36,215,31,2,4,4.492753623188406,5.555555555555555,1.8604651162790697
SNU175_LARGE_INTESTINE,400,54,216,22,0,1,5.5,0.0,0.4629629629629629
SNU407_LARGE_INTESTINE,217,1123,269,8,18,1,3.686635944700461,1.6028495102404272,0.37174721189591076
SNU283_LARGE_INTESTINE,39,818,1634,8,16,32,20.51282051282051,1.9559902200488997,1.9583843329253363
SNU503_LARGE_INTESTINE,45,1254,650,5,14,14,11.11111111111111,1.1164274322169059,2.1538461538461537
HS675T_LARGE_INTESTINE,7,24,142,1,0,1,14.285714285714285,0.0,0.7042253521126761
HCC56_LARGE_INTESTINE,35,174,397,5,5,6,14.285714285714285,2.8735632183908044,1.5113350125944585
RCM1_LARGE_INTESTINE,37,525,346,6,13,11,16.216216216216218,2.4761904761904763,3.1791907514450863
RKO_LARGE_INTESTINE,245,707,205,17,7,2,6.938775510204081,0.9900990099009901,0.975609756097561
SNUC1_LARGE_INTESTINE,0,955,585,0,24,6,0,2.513089005235602,1.0256410256410255
SW620_LARGE_INTESTINE,50,324,561,5,10,15,10.0,3.0864197530864197,2.6737967914438503
HCT116_LARGE_INTESTINE,198,62,273,8,1,0,4.040404040404041,1.6129032258064515,0.0
LS411N_LARGE_INTESTINE,274,52,333,16,0,9,5.839416058394161,0.0,2.7027027027027026
LOVO_LARGE_INTESTINE,187,32,146,11,1,2,5.88235294117647,3.125,1.36986301369863
DLD1_LARGE_INTESTINE,1,40,189,1,1,0,100.0,2.5,0.0
LS1034_LARGE_INTESTINE,23,1046,945,4,21,11,17.391304347826086,2.0076481835564053,1.164021164021164
SW48_LARGE_INTESTINE,229,33,179,13,0,2,5.676855895196507,0.0,1.1173184357541899
LS180_LARGE_INTESTINE,176,38,167,7,1,2,3.977272727272727,2.631578947368421,1.1976047904191618
SW403_LARGE_INTESTINE,58,1087,152,6,25,1,10.344827586206897,2.2999080036798527,0.6578947368421052
NCIH747_LARGE_INTESTINE,18,2095,896,6,33,16,33.33333333333333,1.5751789976133652,1.7857142857142856
