Description,Loss or Gain
TGFB1_MUT,Gain
TGFB2_MUT,Gain
TGFB3_MUT,Gain
TGFBR1_MUT,Gain
TGFBR2_MUT,Gain
TGFBR3L_AMP,Gain
TGFB1_AMP,Gain
TGFB1I1_AMP,Gain
TGFB2_AMP,Gain
TGFB3_AMP,Gain
TGFBI_AMP,Gain
TGFBR1_AMP,Gain
TGFBR2_AMP,Gain
TGFBR3_AMP,Gain
TGFBRAP1_AMP,Gain
TGFBR3L_DEL,Gain
TGFB1_DEL,Gain
TGFB1I1_DEL,Gain
TGFB2_DEL,Gain
TGFB3_DEL,Gain
TGFBI_DEL,Gain
TGFBR1_DEL,Gain
TGFBR2_DEL,Gain
TGFBR3_DEL,Gain
TGFBRAP1_DEL,Gain
AMPD1_AMP,Loss
AMPD2_AMP,Loss
AMPD3_AMP,Loss
AMPD1_DEL,Loss
AMPD2_DEL,Loss
AMPD3_DEL,Loss
ATP11A_MUT,Loss
ATP5S_MUT,Gain
ATP13A5_MUT,Loss
ATP8B1_MUT,Loss
ATP10A_MUT,Loss
ATPBD4-AS1_AMP,Loss
ATP5J2-PTCD1_AMP,Gain
ATP6V1G2-DDX39B_AMP,Loss
SLMO2-ATP5E_AMP,Gain
ATP9A_AMP,Loss
ATP6AP2_AMP,Loss
ATP8A1_AMP,Loss
ATP5H_AMP,Gain
ATP5L_AMP,Gain
ATP6V1G3_AMP,Loss
ATP8B3_AMP,Loss
ATP6V0E2_AMP,Loss
ATP8B5P_AMP,Loss
ATP10B_AMP,Loss
ATP11B_AMP,Loss
ATP11A_AMP,Loss
ATP13A2_AMP,Loss
ATP1B4_AMP,Loss
ATP6V0A2_AMP,Loss
ATP6V0D2_AMP,Loss
ATP6V1C2_AMP,Loss
ATP5L2_AMP,Gain
ATP2C1_AMP,Loss
ATP5S_AMP,Gain
ATP11C_AMP,Loss
ATP13A5_AMP,Loss
ATP9B_AMP,Loss
ATPAF1-AS1_AMP,Loss
ATP6V0E2-AS1_AMP,Loss
ATP5EP2_AMP,Gain
ATP6V0CP3_AMP,Loss
ATP1A1_AMP,Loss
ATP1A2_AMP,Loss
ATP1A3_AMP,Loss
ATP12A_AMP,Loss
ATP1A4_AMP,Loss
ATP1B1_AMP,Loss
ATP1B2_AMP,Loss
ATP1B3_AMP,Loss
ATP2A1_AMP,Loss
ATP2A2_AMP,Loss
ATP2A3_AMP,Loss
ATP2B1_AMP,Loss
ATP2B2_AMP,Loss
ATP2B3_AMP,Loss
ATP2B4_AMP,Loss
ATP4A_AMP,Loss
ATP4B_AMP,Loss
ATP5A1_AMP,Gain
ATP5B_AMP,Gain
ATP6V0A4_AMP,Loss
