Cell Line,CCLE Mut,CCLE CNV AMP,CCLE CNV DEL,Network Mut,Network CNV AMP,Network CNV DEL,Ratio of Mut,Ratio of CNV AMP,Ratio of CNV DEL
SW1116_LARGE_INTESTINE,32,621,678,6,21,27,18.75,3.38164251208,3.98230088496
COLO205_LARGE_INTESTINE,20,623,170,4,25,11,20.0,4.01284109149,6.47058823529
OUMS23_LARGE_INTESTINE,36,455,927,9,23,37,25.0,5.05494505495,3.99137001079
NCIH716_LARGE_INTESTINE,27,630,786,7,25,19,25.9259259259,3.96825396825,2.41730279898
SW480_LARGE_INTESTINE,50,357,500,9,12,22,18.0,3.36134453782,4.4
SNUC2A_LARGE_INTESTINE,267,30,1039,28,1,50,10.4868913858,3.33333333333,4.81231953802
NCIH508_LARGE_INTESTINE,34,791,189,1,37,12,2.94117647059,4.67762326169,6.34920634921
LS123_LARGE_INTESTINE,33,2212,714,8,79,30,24.2424242424,3.57142857143,4.20168067227
SNU1197_LARGE_INTESTINE,39,51,1786,11,3,74,28.2051282051,5.88235294118,4.14333706607
CW2_LARGE_INTESTINE,509,25,187,42,0,9,8.25147347741,0.0,4.8128342246
SNU61_LARGE_INTESTINE,1,523,730,1,26,29,100.0,4.97131931166,3.97260273973
HT115_LARGE_INTESTINE,426,314,709,33,15,30,7.74647887324,4.77707006369,4.23131170663
SNU1033_LARGE_INTESTINE,29,258,1674,10,15,63,34.4827586207,5.81395348837,3.76344086022
SNUC5_LARGE_INTESTINE,253,279,367,15,7,16,5.92885375494,2.50896057348,4.35967302452
SNUC4_LARGE_INTESTINE,195,52,350,16,3,19,8.20512820513,5.76923076923,5.42857142857
HCT15_LARGE_INTESTINE,492,125,139,36,2,7,7.31707317073,1.6,5.03597122302
SW1463_LARGE_INTESTINE,25,605,238,9,31,11,36.0,5.12396694215,4.6218487395
CCK81_LARGE_INTESTINE,257,303,630,13,7,30,5.05836575875,2.3102310231,4.7619047619
C2BBE1_LARGE_INTESTINE,27,1102,1547,7,44,60,25.9259259259,3.99274047187,3.87847446671
LS513_LARGE_INTESTINE,40,526,244,6,28,11,15.0,5.32319391635,4.50819672131
SW837_LARGE_INTESTINE,29,1052,4233,6,40,180,20.6896551724,3.80228136882,4.25230333097
GP2D_LARGE_INTESTINE,378,27,219,34,3,12,8.99470899471,11.1111111111,5.47945205479
HT55_LARGE_INTESTINE,102,205,916,9,16,37,8.82352941176,7.80487804878,4.03930131004
MDST8_LARGE_INTESTINE,65,59,154,5,3,9,7.69230769231,5.08474576271,5.84415584416
