ID,CATEGORY,GENE_FOUND,CONTENT_FOUND
TSHR,UNKNOWN,True,False
ANKK1,UNKNOWN,True,False
FGF4,Oncogene,True,True
CDK7,UNKNOWN,True,False
TNFSF10,UNKNOWN,True,False
TCF12,UNKNOWN,True,False
RPN1,UNKNOWN,True,False
UBE3B,UNKNOWN,True,False
FGFR4,UNKNOWN,True,False
MASTL,UNKNOWN,True,False
C15orf2,UNKNOWN,True,False
CHIC2,UNKNOWN,True,False
CD40LG,UNKNOWN,True,False
DNMT1,UNKNOWN,True,False
PPARA,UNKNOWN,True,False
SLC22A15,UNKNOWN,True,False
JAK3,UNKNOWN,True,False
BLK,UNKNOWN,True,False
FIGF,UNKNOWN,True,False
DYRK1A,UNKNOWN,True,False
FANCA,UNKNOWN,True,False
CDC25C,UNKNOWN,True,False
HSPB8,UNKNOWN,True,False
MYCL1,Oncogene,True,True
TCEA1,UNKNOWN,True,False
ADRBK2,UNKNOWN,True,False
MKL1,UNKNOWN,True,False
GPHN,UNKNOWN,True,False
NCOA3,Oncogene,True,True
SMURF1,UNKNOWN,True,False
INSRR,UNKNOWN,True,False
EIF3A,UNKNOWN,True,False
WNK3,UNKNOWN,True,False
IL2,UNKNOWN,True,False
CD160,UNKNOWN,True,False
MYST2,UNKNOWN,True,False
TRPM8,UNKNOWN,True,False
SOX10,UNKNOWN,True,False
ZAP70,UNKNOWN,True,False
HOXD10,UNKNOWN,True,False
SPRY2,UNKNOWN,True,False
TUFT1,UNKNOWN,True,False
ESR2,UNKNOWN,True,False
ACACA,UNKNOWN,True,False
SERPINB4,UNKNOWN,True,False
CAD,UNKNOWN,True,False
DRD2,UNKNOWN,True,False
EPHB6,UNKNOWN,True,False
TSSK1B,UNKNOWN,True,False
COL14A1,UNKNOWN,True,False
CAMK2B,UNKNOWN,True,False
CHRNA3,UNKNOWN,True,False
CLP1,UNKNOWN,True,False
CCNA1,UNKNOWN,True,False
RBL2,Tumor suppressor gene,True,True
SGK196,UNKNOWN,True,False
PDGFB,Oncogene,True,True
OMG,UNKNOWN,True,False
TERT,UNKNOWN,True,False
TG,UNKNOWN,True,False
PLK3,UNKNOWN,True,False
TP53BP1,UNKNOWN,True,False
NR2F1,UNKNOWN,True,False
FGFR2,Oncogene,True,True
CASP4,UNKNOWN,True,False
CSNK1G1,UNKNOWN,True,False
SCD5,UNKNOWN,True,False
EPHA8,UNKNOWN,True,False
CDC42BPG,UNKNOWN,True,False
PRKAA1,UNKNOWN,True,False
MAPK7,UNKNOWN,True,False
XPO4,UNKNOWN,True,False
CDC73,UNKNOWN,True,False
TMEM123,UNKNOWN,True,False
ROBO1,UNKNOWN,True,False
CDKN2A,Tumor suppressor gene,True,True
TGFBR2,Tumor suppressor gene,True,True
ACVR2B,UNKNOWN,True,False
GOPC,UNKNOWN,True,False
MYLK2,UNKNOWN,True,False
IFNB1,UNKNOWN,True,False
LIMK1,UNKNOWN,True,False
CDH2,UNKNOWN,True,False
ADAM29,UNKNOWN,True,False
OSR1,UNKNOWN,True,False
PIM2,UNKNOWN,True,False
CAMKK1,UNKNOWN,True,False
RAD51L1,UNKNOWN,True,False
IL2RA,UNKNOWN,True,False
SIK1,UNKNOWN,True,False
LRP2,UNKNOWN,True,False
MAP2K2,UNKNOWN,True,False
TTBK1,UNKNOWN,True,False
CNTN1,UNKNOWN,True,False
LDHA,UNKNOWN,True,False
