input,phenotype,ratio
00000,Q,1.0
00001,A,1.0
00010,A,1.0
00011,A,1.0
00100,Q,1.0
00101,A,1.0
00110,A,1.0
00111,A,1.0
01000,Q,1.0
01001,A,0.9908
01001,Q,0.0092
01010,A,1.0
01011,A,0.8632
01011,Q,0.1368
01100,P,1.0
01101,A,0.9901
01101,Q,0.009899999999999999
01110,A,1.0
01111,A,0.8593000000000001
01111,Q,0.1407
10000,A,1.0
10001,A,1.0
10010,A,1.0
10011,A,1.0
10100,A,1.0
10101,A,1.0
10110,A,1.0
10111,A,1.0
11000,A,1.0
11001,A,1.0
11010,A,1.0
11011,A,1.0
11100,A,0.9969
11100,P,0.0031
11101,A,1.0
11110,A,1.0
11111,A,1.0
